run,secs,state,fail,placement_qdb,rssi,loss,fp,reports,quality_rssi,rx_mcs,radio_dbm
1,60,done,,108,-28,5,241,6876,-22,0,27.00
2,60,done,,108,-28,10,14,7539,-23,0,27.00
3,61,done,,108,-28,15,91,8197,-24,0,27.00
4,63,done,,108,-28,5,241,8889,-24,0,27.00
5,66,done,,108,-28,10,14,9604,-25,0,27.00
6,60,done,,108,-28,10,70,10265,-25,0,27.00
7,61,done,,108,-18,10,94,10927,-26,0,27.00
8,63,done,,108,-13,5,1,11618,-25,0,27.00
9,57,done,,108,-13,10,182,12247,-25,0,27.00
10,63,done,,108,-13,10,254,12938,-25,0,27.00
